controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count
CASCADE_PID,S1_initial_tilt_3deg,test,2026,1,1,,10,0.299942499794785,3,0.0523598775598299,0.0105958055036233,0.061,0.0425138978654812,2.08397397198536e-05,0,0,2.08397397198536e-05,0.00325573314008296,0,0,0,0.0205272000000001,20.5066933066934,0.0993473,1001,1001
CASCADE_PID,S1_initial_tilt_6deg,test,2026,1,1,,10,0.601311690507628,6,0.10471975511966,0.0212885723112577,0.12,0.0853675404032499,4.18576740556709e-05,1.073,0,4.18576740556709e-05,0.0131494470296648,0,0,0,0.0195155000000002,19.4960039960041,0.0976248,1001,1001
CASCADE_PID,S1_initial_tilt_9deg,test,2026,1,1,,10,0.926138193663279,9,0.15707963267949,0.0328846343843731,0.686,0.13133875814355,6.42624738037916e-05,1.345,0,6.42624738037916e-05,0.0260974557439555,0.0095,0.000999900009999,0,0.0208978000000001,20.8769230769232,0.1011372,1001,1001
CASCADE_PID,S1_initial_tilt_12deg,test,2026,1,1,,10,1.28677513922381,12,0.20943951023932,0.0459448206377719,0.789,0.182333156359611,8.88754214727913e-05,1.528,0,8.88754214727913e-05,0.0414760141297459,0.0295,0.002999700029997,0,0.0205962000000002,20.5756243756246,0.0996732,1001,1001
CASCADE_PID,S2_position_step_0p25m,test,2026,1,1,,10,0.566898577791682,2.68585933566593,0.046877088652798,0.0784720460745428,1.418,0.460177708231902,0.000124502417988059,1.451,0.000124502417988059,0.250124502417988,0.00556599276622884,0,0,0,0.0204172000000001,20.3968031968033,0.0995724,1001,1001
CASCADE_PID,S2_position_step_0p75m,test,2026,1,1,,10,1.68574890610138,7.97019733121981,0.139106185463451,0.235836654989098,2.706,1.39511914041868,0.000376647625881854,2.068,0.000376647625881854,0.750376647625882,0.04067639241157,0.0100000000000001,0.000999900009999,0,0.0205043000000002,20.4838161838164,0.099602,1001,1001
CASCADE_PID,S2_position_step_1p0m,test,2026,1,1,,10,2.16785844433428,9.93037493077333,0.173317738499499,0.317208765257226,2.921,1.94236848975949,0.00051959820335501,2.28,0.00051959820335501,1.00051959820336,0.053678181644951,0.0100000000000001,0.000999900009999,0,0.0220606000000003,22.0385614385617,0.1035262,1001,1001
CASCADE_PID,S2_saturation_stress,test,2026,1,1,,10,2.06276752810522,8.98798880910444,0.156869997851277,0.217313758171742,1.656,1.47510813948006,0.000498232122296605,2.522,0.000498232122296605,1.0004982321223,0.253361560113989,0.1295,0.012998700129987,1.223,0.0204897000000001,20.4692307692309,0.0996564,1001,1001
CASCADE_PID,S3_positive_impulse,test,2026,1,1,,10,1.26848709384512,5.37083528218548,0.0937387592564154,0.312116755165401,4.266,1.26956006704583,0.000265162284579956,4.103,0.00868845898495818,0.50026516228458,0.138181953422306,0,0,0,0.0202855000000001,20.2652347652349,0.0993221,1001,1001
CASCADE_PID,S3_negative_impulse,test,2026,1,1,,10,1.26452919186977,5.37083528218548,0.0937387592564154,0.311149846636477,4.261,1.26490060317347,0.000232371940416365,4.065,0.0587208247225778,0.500232371940416,0.137077053086268,0,0,0,0.0211882000000001,21.1670329670331,0.1014376,1001,1001
CASCADE_PID,S3_torque_impulse,test,2026,1,1,,10,2.1615802768184,8.94295131271179,0.15608394525237,0.667409021366228,4.935,2.35930033460129,0.000158426549599966,4.767,0.259325575738357,0.5001584265496,0.110076866408231,0,0,1.257,0.0209286000000002,20.9076923076925,0.1006842,1001,1001
CASCADE_PID,S5_constant_bias,test,2026,1,1,,10,1.15611307167048,5.51065399927433,0.0961790562255304,0.158191659635277,2.317,2.55711066548527,0.0332287013219236,2.47,0,0.466771298678076,0.0660848888805908,0.0100000000000001,0.000999900009999,0,0.0199179000000001,19.8980019980021,0.0984559,1001,1001
