controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count,run_index,rho,delta_body_mass,delta_com_length,delta_body_inertia,initial_theta_deg,reference_amplitude,force_amplitude,force_start,force_duration,constant_force,measurement_noise_seed
LQI,S4_monte_carlo,test,2031,1,1,,10,1.32682898160147,5.53042749383631,0.096524168810262,0.310089559520278,1.803,2.46780078237998,0.000257236497617885,2.827,0.00680745364059587,0.823441340981486,1.00948737636826,0.0395000000000002,0.003999600039996,0.000767117037030474,0.0286259,28.5973026973027,0.1124217,1001,1001,5,0.1,-0.0242158580704561,0.0356862491169202,-0.0587777804484174,5.53042749383631,0.823698577479103,-5.11552639896524,4.66709592522058,0.296136957742388,-0.0446070015358156,2031
ATTITUDE_PID,S4_monte_carlo,test,2032,0,1,task_not_settled,10,0.58304602978558,6.38254826984781,0.111396481976312,0.125413897743011,0.242,24.7931841861475,0.405568431238022,10,0,0.292009616334045,2.401698108848,0.689999999999999,0.0690930906909309,10,0.0146467,14.632067932068,0.093584,1001,1001,6,0.1,0.0911157739917457,0.076984652519156,-0.0444593541655701,6.38254826984781,0.697578047572067,5.11102386797488,3.78670672671932,0.266493113974269,-0.418704653997386,2032
CASCADE_PID,S4_monte_carlo,test,2032,1,1,,10,1.77709537411944,7.50022335035727,0.130903592098695,0.374599235651866,4.087,1.85270266661056,0.0166338948718173,1.811,0.0195734837190732,0.714211942443884,0.140338636280788,0.0195000000000001,0.001999800019998,0.000800159306409753,0.0218706000000001,21.8487512487513,0.1044198,1001,1001,6,0.1,0.0911157739917457,0.076984652519156,-0.0444593541655701,6.38254826984781,0.697578047572067,5.11102386797488,3.78670672671932,0.266493113974269,-0.418704653997386,2032
FUZZY_PID,S4_monte_carlo,test,2032,1,1,,10,1.98545840847526,10.6975345340451,0.186707199464885,0.421141679418386,4.289,1.73499677086684,0.0137203925516827,2.976,0.0546300257284236,0.711298440123749,0.216181501587348,0.0395000000000001,0.003999600039996,0.000800159306409753,0.0633171999999999,63.253946053946,0.1507223,1001,1001,6,0.1,0.0911157739917457,0.076984652519156,-0.0444593541655701,6.38254826984781,0.697578047572067,5.11102386797488,3.78670672671932,0.266493113974269,-0.418704653997386,2032
LQR,S4_monte_carlo,test,2032,1,1,,10,0.966042850552265,6.38254826984781,0.111396481976312,0.190798834820731,1.519,2.15467017768854,0.00771787131135526,2.624,0.0126413618132871,0.705295918883422,0.46693308243363,0.0495000000000001,0.004999500049995,0.000800159306409753,0.0125543,12.5417582417582,0.092856,1001,1001,6,0.1,0.0911157739917457,0.076984652519156,-0.0444593541655701,6.38254826984781,0.697578047572067,5.11102386797488,3.78670672671932,0.266493113974269,-0.418704653997386,2032
LQI,S4_monte_carlo,test,2032,1,1,,10,1.23521728450447,6.38254826984781,0.111396481976312,0.285083950556232,1.777,2.12312886209963,0.00184709472337941,2.734,0.00347939866679103,0.695730952848687,1.14186239288937,0.0894999999999996,0.008999100089991,0.000800159306409753,0.0295319999999999,29.5024975024974,0.1139529,1001,1001,6,0.1,0.0911157739917457,0.076984652519156,-0.0444593541655701,6.38254826984781,0.697578047572067,5.11102386797488,3.78670672671932,0.266493113974269,-0.418704653997386,2032
ATTITUDE_PID,S4_monte_carlo,test,2033,0,1,task_not_settled,10,0.379015256177736,4.52982111500823,0.0790602929832544,0.119631233679704,0.128,18.5653771756123,0.351083219436111,10,0,0.110599114405818,2.25308983560835,0.5095,0.050994900509949,10,0.0149175,14.9025974025975,0.0946978,1001,1001,7,0.1,-0.0234671879242882,0.0935731274026581,0.052403179689944,4.52982111500823,0.461682333841929,-6.58480174046169,3.97859099449988,0.148141307465233,-0.0114855552904307,2033
CASCADE_PID,S4_monte_carlo,test,2033,1,1,,10,1.22060498379533,5.18926640030443,0.0905697844484264,0.262276505331957,4.168,1.01716443017988,0.000995373929665644,1.754,0.0335226609464927,0.460686959912263,0.102350677890487,0,0,0.000267698034891239,0.0213970000000001,21.3756243756245,0.1036571,1001,1001,7,0.1,-0.0234671879242882,0.0935731274026581,0.052403179689944,4.52982111500823,0.461682333841929,-6.58480174046169,3.97859099449988,0.148141307465233,-0.0114855552904307,2033
FUZZY_PID,S4_monte_carlo,test,2033,1,1,,10,1.4378480805998,8.72195448002331,0.152226822885477,0.292042233799325,4.33,0.873713031342394,0.00129899544548573,1.373,0.0382921249178806,0.460383338396443,0.18819532753271,0.0100000000000001,0.000999900009999,0.000267698034891239,0.0638230999999999,63.7593406593406,0.1508677,1001,1001,7,0.1,-0.0234671879242882,0.0935731274026581,0.052403179689944,4.52982111500823,0.461682333841929,-6.58480174046169,3.97859099449988,0.148141307465233,-0.0114855552904307,2033
LQR,S4_monte_carlo,test,2033,1,1,,10,0.652739254232066,4.52982111500823,0.0790602929832544,0.147029831351806,1.363,1.38318776076071,0.00275833452464591,2.49,0.0121728388166441,0.458923999317283,0.397202291451577,0.0295000000000001,0.002999700029997,0.000267698034891239,0.0137313,13.7175824175825,0.0958939,1001,1001,7,0.1,-0.0234671879242882,0.0935731274026581,0.052403179689944,4.52982111500823,0.461682333841929,-6.58480174046169,3.97859099449988,0.148141307465233,-0.0114855552904307,2033
